Lugar,Latitud,Longitud
Ciudad de México,19.42847,-99.12766
Iztapalapa,19.35529,-99.06224
Guadalajara,20.66682,-103.39182
Puebla,19.03793,-98.20346
Tijuana,32.5027,-117.00371
Monterrey,25.67507,-100.31847
Ecatepec de Morelos,19.60492,-99.06064
Chihuahua,28.63528,-106.08889
Naucalpan de Juárez,19.47851,-99.23963
Mérida,20.97537,-89.61696
San Luis,22.14982,-100.97916
Hermosillo,29.1026,-110.97732
Saltillo,25.42321,-101.0053
Mexicali,32.62781,-115.45446
Guadalupe,25.67678,-100.25646
Paso del Norte,31.72024,-106.46084
Cancún,21.17429,-86.84656
Coyoacán,19.3467,-99.16174
León de los Aldama,21.12908,-101.67374
Morelia,19.70078,-101.18443
